Title,Description,Date,Location,Source,URL,Organiser
Email Marketing - New Business for Low Cost,During this workshop delegates will be provided with advice on how to improve the use of email and the internet so that they work as marketing tools.,Tue Jul 06 00:00:00 +0100 2010,"Holdsworth House, Halifax",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8070,Business Link
An Introduction to Importing and Exporting,This workshop will provide delegates with an introduction to importing and exporting.,Tue Jul 06 00:00:00 +0100 2010,"Park House, Croydon",Business Link,http://www.croydonenterprise.com/Calendar.aspx,Business Link
First Steps in Social Enterprise,"If you are considering starting up a social enterprise and are looking for a clear understanding of why it is the business model of choice for socially- and environmentally-minded people, then the First Steps in Social Enterprise workshop is for you",Tue Jul 06 00:00:00 +0100 2010,"The Green Dragon Pub, Broadgate, Lincoln",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=140&r.lc=en&type=EVENTS&itemId=5001559072,Business Link
Personal and Business Planning - Start Up Workshop,"It is essential to have a realistic, working business plan when you're starting up a business. This workshop shows you how to create a robust business plan",Tue Jul 06 00:00:00 +0100 2010,"Crichiebank Business Centre, Mill Road, Port Elphinstone, INVERURIE AB51 5NQ",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001563318,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Tue Jul 06 00:00:00 +0100 2010,"St George's Place, Canterbury",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Tue Jul 06 00:00:00 +0100 2010,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Business Advice Open Day,This event brings together a team of experts who can provide advice and support on a range of subjects from starting a business through to growth and expansion.,Tue Jul 06 00:00:00 +0100 2010,Tunstall Methodist Church,Business Link,http://www.businesslink.gov.uk/advicedays,Business Link
Free Legal Consultation for Your Business,Higgs & Sons solicitors are pleased to be working with Business Link West Midlands to provide legal advice for your business on the first Tuesday of each month between 2pm and 5pm at Higgs & Sons premises in the Black Country,Tue Jul 06 00:00:00 +0100 2010,"Higgs & Sons, 3 Waterfront Business Park, Brierley Hill, West Midlands, DY5 1LX",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=131&r.lc=en&type=EVENTS&itemId=5001561240,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Wed Jul 07 00:00:00 +0100 2010,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Accessing Business Finance,The aim of the Accessing Business Finance Workshops is to introduce entrepreneurs and business owners to the basic principles of accessing business finance and inform them of the financing options available to companies in Wales.,Wed Jul 07 00:00:00 +0100 2010,"Cast Ltd, Ffordd Penlan, Parc Menai Business Park, Bangor",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/a/accessingbus_-_wag_-_220610.aspx,Business Link
Improve your Cash Flow and Debt Management,During this workshop delegates will be provided with information on debt management and how to improve cash flow within in their business.,Thu Aug 12 00:00:00 +0100 2010,"Willerby Manor Hotel, Hull",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8061,Business Link
Search Engine Optimisation 2010,During this workshop delegates will learn how to get the most from their website including getting onto the front page of Google.,Thu Aug 12 00:00:00 +0100 2010,"Great Victoria Hotel, Bradford",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8034,Business Link
Self-Assessment Online,"This event will show you how to register for online services, the benefits and ease of doing it online, how to complete your tax return online, the important dates, and how to pay your tax.",Thu Aug 12 00:00:00 +0100 2010,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Networking Skills,"During the workshop you will create a strategy for establishing and maintaining stable business relationships, resulting in an increased business profile leading to new potential customers and suppliers.",Thu Aug 12 00:00:00 +0100 2010,"Business Gateway, 42/3 Hardengreen Bus Pk, Dalhousie Rd, DALKEITH EH22 3NU",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001560235,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Thu Aug 12 00:00:00 +0100 2010,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Vision and Strategy for the SME,This workshop is designed to help delegates identify the causes of restricted growth in a business and provide tips to overcome them.,Thu Aug 12 00:00:00 +0100 2010,"The Dower House Hotel, Knaresborough",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8047,Business Link
Employment Law and Regulations,"This workshop will help you understand best practice in the recruitment, management and development of your employees.",Thu Aug 12 00:00:00 +0100 2010,"Enterprise Business Centre, Admiral Court, Poynernook Road, ABERDEEN AB11 5QX",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001559997,Business Link
The art of effective communication,This practical short course will demonstrate tools and techniques you can use to communicate better with colleagues and customers.,Thu Aug 12 00:00:00 +0100 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=102&CourseTypeID=1,Business Link
Managing difficult situations on the telephone,This course is designed to help delegates reduce resistance and potential conflict when they are talking to people on the telephone.,Thu Aug 12 00:00:00 +0100 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=100&CourseTypeID=1,Business Link
Think On Your Feet - Verbal Communication Skills,"During this workshop delegates will learn to communicate their ideas and knowledge clearly, concisely and persuasively.",Thu Aug 12 00:00:00 +0100 2010,"Etc Venues, Islington",Business Link,http://www.illumine.co.uk/TOYF,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Fri Sep 10 00:00:00 +0100 2010,"Oxford Road, Bournemouth",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Introduce and Manage Change,This workshop demonstrates how to plan and implement sustained change within a business.,Mon Sep 13 00:00:00 +0100 2010,"The Reeds Hotel, Barton-on-Humber",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8107,Business Link
Introduce and Manage Change,This workshop demonstrates how to plan and implement sustained change within a business.,Mon Sep 13 00:00:00 +0100 2010,"The Reeds Hotel, Barton-on-Humber",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8107,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Mon Sep 13 00:00:00 +0100 2010,"Silbury Boulevard, Milton Keynes",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
IT For Business - Start Up Workshop,Effective IT and ebusiness adoption can significantly help companies operate more effectively and take advantage of new opportunities that may otherwise not exist.,Mon Sep 13 00:00:00 +0100 2010,"Burnside Business Centre, Burnside Road, PETERHEAD AB42 3AW",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001564589,Business Link
NEBOSH National General Certificate,The NEBOSH National General Certificate is a 10 day Study programme with additional 2 day revision period which includes a compulsory practical exam.,Mon Sep 13 00:00:00 +0100 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=126&CourseTypeID=3,Business Link
Business Boost - How VAT can Boost your Cashflow,During this workshop delegates will learn how VAT can have a positive effect on their business.,Mon Sep 13 00:00:00 +0100 2010,"Innovation Centre, Torquay",Business Link,http://www.torbaydevelopmentagency.co.uk,Business Link
Vision and Strategy for the SME,This workshop is designed to help delegates identify the causes of restricted growth in a business and provide tips to overcome them.,Mon Sep 13 00:00:00 +0100 2010,"Europarc Innovation Centre, Grimsby",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8067,Business Link
Essential Negotiation Skills,This workshop introduces delegates to the basic skills required to carry out effective negotiations.,Mon Sep 13 00:00:00 +0100 2010,"The Reeds Hotel, Barton-on-Humber",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8111,Business Link
Essential Negotiation Skills,This workshop introduces delegates to the basic skills required to carry out effective negotiations.,Mon Sep 13 00:00:00 +0100 2010,"The Reeds Hotel, Barton-on-Humber",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8111,Business Link
An Introduction to VAT,"This workshop covers VAT registration, rates, tax points and claims.  It also covers the different schemes, record keeping and completing a VAT return.",Tue May 25 00:00:00 +0100 2010,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
The Art and Skill of Writing Promotional Copy that Sells,During this workshop delegates will be provided with information on methods that are used by professional copyrighters to help generate ideas.,Tue May 25 00:00:00 +0100 2010,"Village Hotel Leeds South, Leeds",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=7305,Business Link
"Effective Delegation - What can be a Very Difficult Step, Made Easy","During this workshop delegates will be provided with information on how effective delegation can save time, create successors and motivate individuals.",Tue May 25 00:00:00 +0100 2010,"The Deep Business Centre, Hull",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=7238,Business Link
Use of Neuro Linguistic Programming/Rich Communication Techniques,This workshop draws heavily on Neuro Linguistic Programming to understand how different buyer types process information to reach a purchasing decision,Tue May 25 00:00:00 +0100 2010,"Ramada Hotel, Belfast",Business Link,http://www.investni.com/workshops,Business Link
Starting Your Own Business - Taster Seminar,"This seminar looks at the advantages and disadvantages of self-employment and identifies why some businesses fail. This session will help you consider your motivation for starting a business, your personal qualities and your business skills.",Tue May 25 00:00:00 +0100 2010,"Enterprise Way, South Wales, Newport,",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/t/T_-_EVT7027_-_NGE_-_250510.aspx,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Tue May 25 00:00:00 +0100 2010,"Corporation Street, Taunton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Tue May 25 00:00:00 +0100 2010,"Bohemia Road, Hastings",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Sell More,This workshop will help delegates to increase the profitable sales in their business. It will provide ideas on how to sell more effectively and use techniques that generate loyalty.,Tue May 25 00:00:00 +0100 2010,Milton Keynes Business Centre,Business Link,http://www.venture-now.com/index.php?pag=nw&id=57&p=sales-workshop.html,Business Link
Marketing your New Business,This workshop will help delegates understand the basics of market research and marketing.,Tue May 25 00:00:00 +0100 2010,"Campanile Hotel, Hull",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=7836,Business Link
Paying Expenses and Giving Benefits to Employees,The workshop will cover the most common types of expenses and benefits.,Tue May 25 00:00:00 +0100 2010,"HMRC Marlborough House, Craigavon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/nirelandtraining.htm,Business Link
Start Online Business - A - Z System,"During this event delegates will be provided with an overview of the foundation for business success, steps for starting a business and what it takes to start an online business.",Thu Jun 10 00:00:00 +0100 2010,"Westminster Reference Library, London WC2",Business Link,http://www.businessservicessupport.com/free_services.php,Business Link
Resource Planning and Management,Good financial management is essential. Learn to manage a profit and loss account; produce a cashflow statement; understand the meaning of working capital; describe the main sources of finance; and understand the different legal structures of a business.,Thu Jun 10 00:00:00 +0100 2010,"Falkirk for Business, Newhouse Business Park, GRANGEMOUTH FK3 8LL",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001544640,Business Link
Website Builder Part 2,This workshop follows website builder part 1 (you must have attended part 1 first) and during a full days tuition you will learn from scratch how to build an attractive and effective website for your business.,Thu Jun 10 00:00:00 +0100 2010,"Business Gateway, Ettrick Riverside, Dunsdale Road, SELKIRK TD7 5EB",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001528707,Business Link
Marketing and Market Research - Start Up Workshop,"Getting the marketing right for your business is crucial to its success.  This workshop will help you to understand your competitors, identify your customers and understand the things you need to consider for effective marketing",Thu Jun 10 00:00:00 +0100 2010,"George House, 36 North Hanover Street, GLASGOW G1 2AD",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001509685,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Fri Jun 11 00:00:00 +0100 2010,"Northern Road, Cosham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Statutory Sick Pay,This workshop will explain the procedure for paying Statutory Sick Pay to eligible employees. It will also cover the information needed to run a sick pay scheme.,Fri Jun 11 00:00:00 +0100 2010,"St George's Place, Canterbury",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Marketing your Business,This workshop will help delegates understand the basics of market research and marketing.,Fri Jun 11 00:00:00 +0100 2010,"St Swithun's Centre, Wakefield",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=7756,Business Link
Boost your sales and profit,"Designed for businesses with one to three employees, this workshop will help you identify key factors in your business that could impact on your performance and cover them off in your own tailored practical action plan",Fri Jun 11 00:00:00 +0100 2010,"Denbies Wine Estate, London Road, Dorking Surrey RH5 6AA",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=210&r.lc=en&type=EVENTS&itemId=5001524160,Business Link
Time Management,This course gives you the knowledge and skills to manage your time effectively. During the workshop you will create a structured plan to help you make more effective and efficient use of your time.,Fri Jun 11 00:00:00 +0100 2010,"George House, 36 North Hanover Street, GLASGOW G1 2AD",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001509762,Business Link
Tweets & Pokes Social Networking 4 Business,Find out what all the buzz is about and how you can use social networking to grow your business,Fri Jun 11 00:00:00 +0100 2010,"Business Gateway, 39 Castle Street, DUMFRIES DG1 1DL",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001559259,Business Link
Personal and Business Planning - Start Up Workshop,"It is essential to have a realistic, working business plan when you're starting up a business. This workshop shows you how to create a robust business plan",Wed Jul 07 00:00:00 +0100 2010,"Burnside Business Centre, Burnside Road, PETERHEAD AB42 3AW",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001563375,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Wed Jul 07 00:00:00 +0100 2010,"Mote Road, Maidstone",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Statutory Sick Pay,"This event will cover how to work out if your employees are eligible for SSP, how much to pay them, managing the absence, keeping records and whether you can recover payments back from HMRC.",Wed Jul 07 00:00:00 +0100 2010,"London Road, Twickenham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/london.htm,Business Link
Let's Talk - More Profit,This seminar will provide delegates with information on how to improve business profitability and marketing effectiveness.,Wed Jul 07 00:00:00 +0100 2010,"Cedar Court Hotel, Huddersfield",Business Link,http://www.directorscentre.com/lets-talk.php,Business Link
Marketing,This workshop will help you create a realistic marketing plan designed to improve your marketing efforts and ultimately lead to more sales.,Wed Jul 07 00:00:00 +0100 2010,"Enterprise Business Centre, Admiral Court, Poynernook Road, ABERDEEN AB11 5QX",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001559367,Business Link
Meet the buyer - competing successfully for public sector contracts - 07 Jul,Find out how you can gain access to business services within Dorset County Council and the wider public sector at this free event and meet the people in charge of the money.,Wed Jul 07 00:00:00 +0100 2010,"The Exchange, Sturminster Newton DT10 1QU",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001565489,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Wed Jul 07 00:00:00 +0100 2010,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Start Up Awareness Seminar,If you're thinking about planning or starting your own business you will benefit from attending this awareness raising session.,Wed Jul 07 00:00:00 +0100 2010,"Burnside Business Centre, Burnside Road, PETERHEAD AB42 3AW",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001563354,Business Link
Basic Bookkeeping,This workshop aims to equip you with an understanding of bookkeeping principles and demonstrates why keeping financial records is so important to the success of your business.,Thu Jul 08 00:00:00 +0100 2010,"Business Gateway, 42/3 Hardengreen Bus Pk, Dalhousie Rd, DALKEITH EH22 3NU",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001559304,Business Link
Marketing and Market Research - Start Up Workshop,"Getting the marketing right for your business is crucial to its success. This workshop will help you to understand your competitors, identify your customers and understand the things you need to consider for effective marketing",Thu Jul 08 00:00:00 +0100 2010,"Crichiebank Business Centre, Mill Road, Port Elphinstone, INVERURIE AB51 5NQ",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001563396,Business Link
"Mind Mapping, Memory and Speed Reading","During this workshop delegates will learn mind mapping, speed reading and memory principles and rhythms.",Thu Aug 12 00:00:00 +0100 2010,"Etc, Islington",Business Link,http://www.illumine.co.uk/aims,Business Link
Resource Planning and Management,Good financial management is essential. Learn to manage a profit and loss account; produce a cashflow statement; understand the meaning of working capital; describe the main sources of finance; and understand the different legal structures of a business.,Thu Aug 12 00:00:00 +0100 2010,"Falkirk for Business, Newhouse Business Park, GRANGEMOUTH FK3 8LL",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001552635,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Thu Aug 12 00:00:00 +0100 2010,"Castle Street, High Wycombe",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Setting Up a Limited Company,"This event will help you with the basics of forming a limited company including how to register with Companies House and HMRC.  We cover what a limited company is, and the dates your corporation tax return and payments are due.",Thu Aug 12 00:00:00 +0100 2010,"Temple Back, Bristol",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Right funds for you,"Are you an SME based in the East Midlands? Are you looking to fulfil your high growth potential by securing investment? If so, this friendly, informal event is for you",Thu Aug 12 00:00:00 +0100 2010,"Pride Park, Pride Park Stadium, Derby",Business Link,http://www.connectmidlands.co.uk/web/cm/showevents.cfm?id=438,Business Link
Better Proof Reading,"Anyone who has responsibility for checking and correcting documents, including press releases and web pages will find this course beneficial.",Thu Aug 12 00:00:00 +0100 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=106&CourseTypeID=1,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Fri Aug 13 00:00:00 +0100 2010,"Northern Road, Cosham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
"Statutory Pay and Leave for Maternity, Paternity and Adoption","This workshop covers how to calculate payments of SMP, SPP and SAP to eligible employees, what the leave conditions are and what to do if an employee is not eligible.",Fri Aug 13 00:00:00 +0100 2010,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Marketing and Market Research - Start Up Workshop,"Getting the marketing right for your business is crucial to its success.  This workshop will help you to understand your competitors, identify your customers and understand the things you need to consider for effective marketing",Fri Aug 13 00:00:00 +0100 2010,"Crichiebank Business Centre, Mill Road, Port Elphinstone, INVERURIE AB51 5NQ",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001563706,Business Link
Develop Your Website,"This course provides you with an overview of how to plan, develop and manage your website",Fri Aug 13 00:00:00 +0100 2010,"Enterprise Business Centre, Admiral Court, Poynernook Road, ABERDEEN AB11 5QX",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001560017,Business Link
How VAT Works,This workshop aims to equip attendees with an understanding of how VAT works.,Mon Sep 13 00:00:00 +0100 2010,"Crichiebank Business Centre, Mill Road, Port Elphinstone, INVERURIE AB51 5NQ",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001564856,Business Link
How to get Free Publicity in the Media,This workshop will provide delegates with tips on how to use the local and regional media to promote their business.,Tue Sep 14 00:00:00 +0100 2010,"Holiday Inn, Barnsley",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8016,Business Link
Personal and Business Planning - Start Up Workshop,"It is essential to have a realistic, working business plan when you're starting up a business. This workshop shows you how to create a robust business plan",Tue Sep 14 00:00:00 +0100 2010,"Stirling Enterprise, John Player Building, Kerse Road, STIRLING FK7 7RP",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001536319,Business Link
Accessing Business Finance,The aim of the Accessing Business Finance Workshops is to introduce entrepreneurs and business owners to the basic principles of accessing business finance and inform them of the financing options available to companies in Wales,Tue Sep 14 00:00:00 +0100 2010,"Maes Mawr Hall Hotel, Long Length, Caersws",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/a/accessingbus_-_wag_-_140910.aspx,Business Link
Be Inspired with Emma Jones,"During this workshop delegates will be provided with the opportunity to listen to guest speaker Emma Jones, founder and editor of the home business website Enterprise Nation.",Tue Sep 14 00:00:00 +0100 2010,"Holiday Inn, Doncaster",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8024,Business Link
IT For Business Start Up Workshop,Effective IT and ebusiness adoption can significantly help companies operate more effectively and take advantage of new opportunities that may otherwise not exist,Tue Sep 14 00:00:00 +0100 2010,"Falkirk for Business, Newhouse Business Park, GRANGEMOUTH FK3 8LL",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001552800,Business Link
Personal and Business Planning - Start Up Workshop,"It is essential to have a realistic, working business plan when you're starting up a business. This workshop shows you how to create a robust business plan",Tue Sep 14 00:00:00 +0100 2010,"Maitlandfield House Hotel, 24 Sidegate, HADDINGTON EH41 4BZ",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001559901,Business Link
Time Remanagement,This workshop is especially relevant to business owners seeking to improve productivity and effectiveness.,Tue Sep 14 00:00:00 +0100 2010,"Enterprise Business Centre, Admiral Court, Poynernook Road, ABERDEEN AB11 5QX",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001560101,Business Link
Business Advice Open Day,This event brings together a team of experts who can provide advice and support on a range of subjects from starting a business through to growth and expansion.,Tue Sep 14 00:00:00 +0100 2010,"Queen's Hall, Narberth",Business Link,http://www.businesslink.gov.uk/advicedays,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Tue Sep 14 00:00:00 +0100 2010,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
HMRC - How to Reduce Your Tax Bill,How to reduce your tax bill,Tue May 25 00:00:00 +0100 2010,"Queens Hall, Argyll Street, DUNOON PA23 7HH",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001551131,Business Link
Producing your Business Plan,During this workshop delegates will learn the concept of business planning and the process required to produce a plan.,Tue May 25 00:00:00 +0100 2010,"Park Inn, Doncaster",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=7580,Business Link
Resource Planning and Management,Good financial management is essential. Learn to manage a profit and loss account; produce a cashflow statement; understand the meaning of working capital; describe the main sources of finance; and understand the different legal structures of a business.,Tue May 25 00:00:00 +0100 2010,"Express by Holiday Inn, Halbeath, DUNFERMLINE KY11 8DY",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001511061,Business Link
Personal and Business Planning - Start Up Workshop,"It is essential to have a realistic, working business plan when you're starting up a business. This workshop shows you how to create a robust business plan",Tue May 25 00:00:00 +0100 2010,"Burnside Business Centre, Burnside Road, PETERHEAD AB42 3AW",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001489584,Business Link
Marketing your New Business,This workshop will help delegates understand the basics of market research and marketing.,Tue May 25 00:00:00 +0100 2010,"Campanile Hotel, Hull",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=7836,Business Link
Sell More,This workshop will help delegates to increase the profitable sales in their business. It will provide ideas on how to sell more effectively and use techniques that generate loyalty.,Tue May 25 00:00:00 +0100 2010,Milton Keynes Business Centre,Business Link,http://www.venture-now.com/index.php?pag=nw&id=57&p=sales-workshop.html,Business Link
Developing a Marketing Strategy for Start Ups,This workshop will help you understand the tools and techniques of marketing by guiding you through the steps involved in setting marketing objectives and deciding on a marketing strategy.,Tue May 25 00:00:00 +0100 2010,"Plas Grono Road, Wrexham,",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W2_-_EVT7037_-_WCBC_-_250510.aspx,Business Link
Developing Organic and Ethical Skincare Businesses,"During this workshop delegates will be provided with advice on starting a new skincare range. This will include formulating, sourcing, branding, packaging, manufacturing and selling.",Tue May 25 00:00:00 +0100 2010,"British Library Business and IP Centre, London",Business Link,http://www.bl.uk/bipc/workevents/organic.html,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Wed May 26 00:00:00 +0100 2010,"Regent Hill, Brighton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Wed May 26 00:00:00 +0100 2010,"Southgate Street, Gloucester",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Start Up Awareness Seminar,If you're thinking about planning or starting your own business you will benefit from attending this awareness raising session.,Mon Jun 14 00:00:00 +0100 2010,"Atrium Business Centre, North Caldeen Road, COATBRIDGE ML5 4EF",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001527735,Business Link
